entropy,epoch,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,step,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second
2.271439200639725,0.13513513513513514,3.984375,0.00019993328483702393,2.9353,0.5052898652851582,51857.0,20,,,,,,,
2.4711764335632322,0.2702702702702703,3.109375,0.00019833656768294662,2.4768,0.5378549844026566,103778.0,40,,,,,,,
2.472169506549835,0.40540540540540543,4.09375,0.00019464397731576094,2.5127,0.5408742122352124,154556.0,60,,,,,,,
2.5259502708911894,0.5405405405405406,3.625,0.0001889342148882519,2.5396,0.5315790593624115,205698.0,80,,,,,,,
2.5193952441215517,0.6756756756756757,2.9375,0.00018132897407355657,2.5264,0.5336451232433319,257585.0,100,,,,,,,
2.484817939996719,0.8108108108108109,2.578125,0.0001719903473757996,2.5087,0.534409087896347,309217.0,120,,,,,,,
2.4680429875850676,0.9459459459459459,3.234375,0.00016111737140978494,2.4704,0.5415465101599694,360980.0,140,,,,,,,
1.939014807343483,1.0810810810810811,3.28125,0.00014894178478110857,1.9024,0.6068103574216366,412125.0,160,,,,,,,
1.4520536601543426,1.2162162162162162,3.46875,0.0001357230889801133,1.4377,0.6673456713557243,463784.0,180,,,,,,,
1.4522287636995315,1.3513513513513513,3.15625,0.00012174301755815571,1.4338,0.6641604885458946,516594.0,200,,,,,,,
,1.3513513513513513,,,,,,200,1.6891110396720994,2.7441670894622803,0.5265693055911803,516594.0,3.4863,162.921,20.365
1.4828316897153855,1.4864864864864864,3.0625,0.00010729953146609076,1.462,0.6623624548316002,568419.0,220,,,,,,,
1.4560013234615325,1.6216216216216215,3.546875,9.270046853390925e-05,1.4366,0.6648498326539993,619590.0,240,,,,,,,
1.3812491357326508,1.7567567567567568,3.015625,7.825698244184431e-05,1.3552,0.6801617115736007,670730.0,260,,,,,,,
1.371723148226738,1.8918918918918919,3.09375,6.427691101988673e-05,1.3507,0.6806233212351799,722259.0,280,,,,,,,
1.255546408891678,2.027027027027027,2.75,5.105821521889147e-05,1.1498,0.7248829632997513,773648.0,300,,,,,,,
0.5116475276648998,2.1621621621621623,2.515625,3.8882628590215074e-05,0.3943,0.8972765147686005,825072.0,320,,,,,,,
0.459997383505106,2.2972972972972974,2.703125,2.800965262420043e-05,0.3585,0.9029258579015732,877250.0,340,,,,,,,
0.4662561908364296,2.4324324324324325,2.390625,1.8671025926443465e-05,0.3622,0.9026211351156235,928320.0,360,,,,,,,
0.4376348339021206,2.5675675675675675,2.484375,1.1065785111748117e-05,0.3364,0.9117955461144447,979128.0,380,,,,,,,
0.41314675137400625,2.7027027027027026,2.8125,5.3560226842390596e-06,0.3291,0.9129452556371689,1030233.0,400,,,,,,,
,2.7027027027027026,,,,,,400,1.1629548652071349,3.2562334537506104,0.5267078293041444,1030233.0,3.5069,161.965,20.246
0.4465172827243805,2.8378378378378377,2.53125,1.6634323170533928e-06,0.3807,0.9036840379238129,1082724.0,420,,,,,,,
0.45054921582341195,2.972972972972973,2.859375,6.671516297606095e-08,0.3504,0.905385074019432,1135886.0,440,,,,,,,
